CS:GO Weapon Case 152,416 $0.05
eSports 2013 Case 99,926 $0.04
Operation Bravo Case 9,936 $0.61
AUG | Wings (Factory New) 7,136 $0.11
Glock-18 | Brass (Minimal Wear) 20 $4.26
P250 | Nuclear Threat (Minimal Wear) 19 $11.27
MP9 | Dry Season (Factory New) 19 $0.85
AUG | Hot Rod (Minimal Wear) 19 $1.69
FAMAS | Spitfire (Minimal Wear) 19 $7.10
StatTrak™ P250 | Hive (Minimal Wear) 19 $7.10
AK-47 | Fire Serpent (Field-Tested) 19 $24.56
Tec-9 | Nuclear Threat (Well-Worn) 19 $1.43
Nova | Blaze Orange (Battle-Scarred) 19 $0.25
StatTrak™ MAC-10 | Graven (Battle-Scarred) 19 $2.50
StatTrak™ P250 | Hive (Factory New) 18 $9.31
P2000 | Silver (Minimal Wear) 18 $1.65
MP9 | Hypnotic (Minimal Wear) 18 $0.93
MP9 | Bulldozer (Well-Worn) 18 $0.92
StatTrak™ SCAR-20 | Crimson Web (Minimal Wear) 18 $6.00
AK-47 | Jungle Spray (Factory New) 17 $4.03
Galil AR | Shattered (Factory New) 17 $1.62
SSG 08 | Lichen Dashed (Factory New) 17 $1.32
Dual Berettas | Black Limba (Factory New) 17 $1.46
SSG 08 | Blood in the Water (Minimal Wear) 16 $9.40
Negev | Anodized Navy (Minimal Wear) 16 $1.50
Galil AR | Winter Forest (Factory New) 16 $2.30
M4A4 | Modern Hunter (Well-Worn) 16 $1.15
StatTrak™ P90 | Emerald Dragon (Minimal Wear) 16 $28.00
StatTrak™ M4A1-S | Bright Water (Field-Tested) 16 $14.76
P250 | Gunsmoke (Factory New) 16 $4.50
StatTrak™ M4A1-S | Bright Water (Minimal Wear) 16 $14.95
StatTrak™ AWP | Lightning Strike (Factory New) 15 $47.00
FAMAS | Spitfire (Battle-Scarred) 15 $1.54
P250 | Nuclear Threat (Well-Worn) 15 $4.07
StatTrak™ MP9 | Hypnotic (Factory New) 15 $4.29
StatTrak™ MAC-10 | Graven (Well-Worn) 15 $2.50
M249 | Blizzard Marbleized (Factory New) 15 $2.30
StatTrak™ SG 553 | Ultraviolet (Factory New) 15 $6.16
M4A4 | Zirka (Factory New) 15 $5.48
Sawed-Off | Copper (Factory New) 15 $2.58
Tec-9 | Tornado (Factory New) 14 $1.61
StatTrak™ AWP | Graphite (Factory New) 14 $79.92
M4A4 | Modern Hunter (Minimal Wear) 14 $4.02
SCAR-20 | Emerald (Minimal Wear) 14 $4.94
P2000 | Ocean Foam (Minimal Wear) 13 $3.50
AK-47 | Fire Serpent (Minimal Wear) 13 $35.20
StatTrak™ Dual Berettas | Hemoglobin (Minimal Wear) 13 $5.75
AWP | Graphite (Minimal Wear) 13 $11.24
StatTrak™ SCAR-20 | Crimson Web (Battle-Scarred) 13 $2.72
★ Gut Knife | Fade (Factory New) 13 $132.34
G3SG1 | Arctic Camo (Factory New) 12 $2.13
StatTrak™ M4A4 | Faded Zebra (Factory New) 12 $17.45
M4A4 | Zirka (Well-Worn) 12 $1.35
Desert Eagle | Blaze (Minimal Wear) 12 $9.20
StatTrak™ P90 | Death by Kitty (Field-Tested) 12 $34.43
FAMAS | Spitfire (Well-Worn) 12 $3.57
AK-47 | Case Hardened (Factory New) 12 $13.39
P90 | Emerald Dragon (Battle-Scarred) 12 $4.48
UMP-45 | Fallout Warning (Factory New) 11 $2.48
SCAR-20 | Crimson Web (Factory New) 11 $3.91
USP-S | Overgrowth (Factory New) 11 $6.03
USP-S | Serum (Field-Tested) 11 $4.00
Five-SeveN | Case Hardened (Factory New) 11 $5.12
StatTrak™ MAC-10 | Graven (Minimal Wear) 11 $4.97
Galil AR | Orange DDPAT (Factory New) 11 $3.41
StatTrak™ Desert Eagle | Golden Koi (Factory New) 11 $53.68
StatTrak™ SCAR-20 | Crimson Web (Well-Worn) 11 $2.70
★ Karambit 11 $190.83
★ Flip Knife 11 $67.05
StatTrak™ P90 | Emerald Dragon (Field-Tested) 11 $19.55
PP-Bizon | Rust Coat (Factory New) 11 $2.50
StatTrak™ P2000 | Ocean Foam (Factory New) 11 $27.00
P90 | Fallout Warning (Factory New) 11 $5.00
Sawed-Off | Orange DDPAT (Factory New) 11 $2.68
M4A4 | Tornado (Factory New) 11 $4.00
StatTrak™ P250 | Splash (Field-Tested) 11 $9.67
StatTrak™ P90 | Cold Blooded (Factory New) 11 $28.20
AK-47 | Predator (Factory New) 11 $4.60
Desert Eagle | Golden Koi (Minimal Wear) 10 $7.29
★ Flip Knife | Safari Mesh (Field-Tested) 10 $65.75
StatTrak™ SG 553 | Wave Spray (Factory New) 10 $13.00
AWP | BOOM (Factory New) 10 $17.45
Nova | Blaze Orange (Factory New) 10 $7.55
AK-47 | Fire Serpent (Battle-Scarred) 10 $24.17
StatTrak™ USP-S | Overgrowth (Well-Worn) 10 $11.62
★ Flip Knife | Fade (Factory New) 10 $175.00
Glock-18 | Brass (Factory New) 10 $8.93
StatTrak™ Dual Berettas | Black Limba (Factory New) 10 $25.45
StatTrak™ M4A1-S | Blood Tiger (Field-Tested) 10 $12.54
Glock-18 | Fade (Minimal Wear) 10 $15.11
★ Karambit | Night (Field-Tested) 9 $212.00
StatTrak™ Glock-18 | Dragon Tattoo (Minimal Wear) 9 $15.98
M4A4 | Desert Storm (Factory New) 9 $5.78
StatTrak™ USP-S | Overgrowth (Battle-Scarred) 9 $7.88
MAC-10 | Graven (Factory New) 9 $4.60
StatTrak™ P90 | Death by Kitty (Minimal Wear) 9 $46.00
★ Gut Knife | Slaughter (Minimal Wear) 9 $160.42
★ Karambit | Stained (Field-Tested) 9 $170.00
StatTrak™ USP-S | Overgrowth (Minimal Wear) 9 $12.97
P2000 | Grassland Leaves (Factory New) 9 $2.44
StatTrak™ Five-SeveN | Case Hardened (Battle-Scarred) 9 $12.77
P90 | Cold Blooded (Minimal Wear) 9 $4.78
★ Gut Knife | Safari Mesh (Field-Tested) 9 $63.25
StatTrak™ P250 | Hive (Field-Tested) 9 $7.50
★ Gut Knife 9 $74.75
StatTrak™ FAMAS | Hexane (Well-Worn) 9 $5.17
P250 | Modern Hunter (Factory New) 9 $9.12
★ M9 Bayonet | Scorched (Field-Tested) 8 $95.00
StatTrak™ USP-S | Serum (Minimal Wear) 8 $27.52
SSG 08 | Blood in the Water (Field-Tested) 8 $9.69
Glock-18 | Sand Dune (Factory New) 8 $5.03
StatTrak™ Nova | Tempest (Factory New) 8 $8.48
StatTrak™ UMP-45 | Bone Pile (Factory New) 8 $5.70
StatTrak™ AK-47 | Case Hardened (Field-Tested) 8 $45.66
★ Flip Knife | Scorched (Field-Tested) 8 $65.00
StatTrak™ AWP | BOOM (Field-Tested) 8 $44.53
AWP | Lightning Strike (Minimal Wear) 8 $9.40
StatTrak™ Five-SeveN | Case Hardened (Field-Tested) 8 $13.89
P90 | Emerald Dragon (Factory New) 8 $15.50
★ Flip Knife | Urban Masked (Field-Tested) 7 $79.99
StatTrak™ AK-47 | Red Laminate (Well-Worn) 7 $50.02
StatTrak™ USP-S | Serum (Field-Tested) 7 $29.48
StatTrak™ Desert Eagle | Hypnotic (Minimal Wear) 7 $17.34
StatTrak™ M4A4 | Zirka (Well-Worn) 7 $12.65
★ M9 Bayonet | Night (Field-Tested) 7 $107.38
★ Bayonet | Boreal Forest (Battle-Scarred) 7 $83.92
StatTrak™ SSG 08 | Blood in the Water (Minimal Wear) 7 $62.10
★ Bayonet | Crimson Web (Field-Tested) 7 $191.40
★ Gut Knife | Crimson Web (Field-Tested) 7 $123.48
★ Flip Knife | Night (Field-Tested) 7 $89.99
StatTrak™ AK-47 | Case Hardened (Well-Worn) 7 $40.89
StatTrak™ AK-47 | Red Laminate (Minimal Wear) 7 $55.04
StatTrak™ Nova | Graphite (Minimal Wear) 7 $10.47
StatTrak™ G3SG1 | Demeter (Factory New) 7 $13.91
★ Bayonet | Safari Mesh (Field-Tested) 7 $81.89
StatTrak™ P250 | Splash (Factory New) 7 $18.49
★ Bayonet | Fade (Factory New) 7 $223.82
StatTrak™ Dual Berettas | Hemoglobin (Factory New) 6 $8.02
P2000 | Scorpion (Minimal Wear) 6 $6.95
★ Karambit | Scorched (Field-Tested) 6 $177.41
StatTrak™ Five-SeveN | Case Hardened (Minimal Wear) 6 $19.00
★ Flip Knife | Stained (Minimal Wear) 6 $80.50
★ M9 Bayonet | Fade (Factory New) 6 $248.90
StatTrak™ P2000 | Ocean Foam (Minimal Wear) 6 $26.24
Negev | Palm (Factory New) 6 $5.75
★ Flip Knife | Blue Steel (Field-Tested) 6 $87.25
★ Gut Knife | Boreal Forest (Field-Tested) 6 $60.95
Nova | Modern Hunter (Factory New) 6 $5.08
AK-47 | Red Laminate (Factory New) 6 $19.73
StatTrak™ MP9 | Hypnotic (Minimal Wear) 6 $5.48
★ Gut Knife | Case Hardened (Well-Worn) 6 $88.59
★ Gut Knife | Blue Steel (Field-Tested) 6 $84.57
★ Karambit | Urban Masked (Field-Tested) 6 $159.06
P90 | Glacier Mesh (Factory New) 6 $25.00
StatTrak™ USP-S | Serum (Factory New) 6 $35.97
★ Gut Knife | Urban Masked (Battle-Scarred) 6 $69.00
★ Flip Knife | Slaughter (Minimal Wear) 6 $135.73
StatTrak™ Dual Berettas | Hemoglobin (Field-Tested) 6 $6.14
StatTrak™ Galil AR | Shattered (Factory New) 6 $16.10
★ M9 Bayonet | Forest DDPAT (Field-Tested) 6 $94.99
StatTrak™ AK-47 | Case Hardened (Battle-Scarred) 6 $40.91
★ Bayonet | Night (Field-Tested) 5 $119.45
AK-47 | Black Laminate (Factory New) 5 $49.69
★ M9 Bayonet | Slaughter (Factory New) 5 $277.85
StatTrak™ AK-47 | Case Hardened (Minimal Wear) 5 $55.57
★ Gut Knife | Crimson Web (Battle-Scarred) 5 $92.00
StatTrak™ Five-SeveN | Case Hardened (Well-Worn) 5 $13.25
XM1014 | Fallout Warning (Factory New) 5 $3.07
SSG 08 | Blood in the Water (Factory New) 5 $29.81
★ Gut Knife | Scorched (Field-Tested) 5 $78.00
★ Gut Knife | Blue Steel (Well-Worn) 5 $94.15
P250 | Facets (Factory New) 5 $8.97
★ Karambit | Boreal Forest (Field-Tested) 5 $143.75
★ Karambit | Safari Mesh (Field-Tested) 5 $159.85
★ Bayonet | Safari Mesh (Minimal Wear) 5 $90.85
★ Flip Knife | Case Hardened (Field-Tested) 5 $100.00
★ Bayonet | Case Hardened (Field-Tested) 5 $125.00
★ Flip Knife | Case Hardened (Minimal Wear) 5 $115.00
★ Gut Knife | Urban Masked (Field-Tested) 5 $69.47
StatTrak™ P90 | Emerald Dragon (Battle-Scarred) 5 $23.93
Sawed-Off | Mosaico (Factory New) 5 $3.50
PP-Bizon | Modern Hunter (Factory New) 5 $8.46
StatTrak™ AK-47 | Case Hardened (Factory New) 5 $130.00
★ M9 Bayonet | Crimson Web (Field-Tested) 5 $228.45
★ Bayonet | Stained (Well-Worn) 5 $85.16
★ Bayonet | Slaughter (Minimal Wear) 5 $223.82
★ Bayonet | Scorched (Field-Tested) 5 $93.96
★ M9 Bayonet | Boreal Forest (Field-Tested) 5 $84.90
★ Flip Knife | Slaughter (Factory New) 5 $175.00
★ Gut Knife | Night (Field-Tested) 5 $79.35
★ Flip Knife | Crimson Web (Field-Tested) 4 $127.51
StatTrak™ AWP | Graphite (Minimal Wear) 4 $77.18
★ Bayonet | Safari Mesh (Battle-Scarred) 4 $100.67
★ M9 Bayonet 4 $97.31
★ Flip Knife | Stained (Field-Tested) 4 $84.90
★ Gut Knife | Boreal Forest (Battle-Scarred) 4 $73.31
★ Bayonet 4 $90.62
★ Gut Knife | Stained (Well-Worn) 4 $75.16
SSG 08 | Mayan Dreams (Factory New) 4 $12.20
★ Flip Knife | Case Hardened (Battle-Scarred) 4 $91.45
AK-47 | Fire Serpent (Well-Worn) 4 $28.75
★ Gut Knife | Stained (Field-Tested) 4 $80.00
★ Karambit | Forest DDPAT (Field-Tested) 4 $155.48
★ Flip Knife | Forest DDPAT (Field-Tested) 4 $70.06
★ M9 Bayonet | Safari Mesh (Field-Tested) 4 $90.00
★ Bayonet | Forest DDPAT (Field-Tested) 4 $80.50
★ Karambit | Urban Masked (Minimal Wear) 4 $165.63
★ Karambit | Fade (Factory New) 4 $369.99
StatTrak™ USP-S | Overgrowth (Factory New) 4 $61.00
AWP | Snake Camo (Factory New) 4 $22.86
★ Bayonet | Boreal Forest (Field-Tested) 4 $96.64
★ Flip Knife | Crimson Web (Battle-Scarred) 4 $166.75
★ Gut Knife | Case Hardened (Minimal Wear) 4 $97.00
★ Bayonet | Case Hardened (Well-Worn) 4 $119.99
★ Karambit | Case Hardened (Minimal Wear) 4 $264.47
★ M9 Bayonet | Case Hardened (Minimal Wear) 3 $201.33
★ Bayonet | Case Hardened (Minimal Wear) 3 $154.36
★ Karambit | Blue Steel (Battle-Scarred) 3 $225.02
★ Flip Knife | Blue Steel (Minimal Wear) 3 $93.96
★ Bayonet | Case Hardened (Battle-Scarred) 3 $104.94
★ Karambit | Safari Mesh (Battle-Scarred) 3 $138.00
★ Flip Knife | Case Hardened (Well-Worn) 3 $100.00
StatTrak™ P90 | Cold Blooded (Minimal Wear) 3 $33.00
★ Karambit | Blue Steel (Field-Tested) 3 $190.85
★ Flip Knife | Boreal Forest (Battle-Scarred) 3 $69.00
SCAR-20 | Splash Jam (Factory New) 3 $54.76
StatTrak™ Desert Eagle | Golden Koi (Minimal Wear) 3 $58.97
★ M9 Bayonet | Blue Steel (Battle-Scarred) 3 $201.33
★ Gut Knife | Slaughter (Factory New) 3 $180.00
★ Bayonet | Stained (Field-Tested) 3 $108.71
★ M9 Bayonet | Blue Steel (Minimal Wear) 3 $115.00
★ M9 Bayonet | Night (Battle-Scarred) 3 $105.50
★ Bayonet | Stained (Battle-Scarred) 3 $85.91
★ Bayonet | Blue Steel (Field-Tested) 3 $115.76
★ Bayonet | Forest DDPAT (Minimal Wear) 3 $98.99
★ Flip Knife | Night (Well-Worn) 3 $131.21
★ Flip Knife | Safari Mesh (Battle-Scarred) 3 $66.99
★ Karambit | Case Hardened (Battle-Scarred) 3 $281.87
StatTrak™ P90 | Emerald Dragon (Well-Worn) 3 $20.14
★ Gut Knife | Forest DDPAT (Minimal Wear) 3 $80.50
★ M9 Bayonet | Urban Masked (Field-Tested) 3 $85.00
★ M9 Bayonet | Stained (Well-Worn) 3 $98.41
★ Gut Knife | Forest DDPAT (Field-Tested) 3 $69.00
★ M9 Bayonet | Stained (Field-Tested) 3 $100.00
★ Bayonet | Slaughter (Factory New) 3 $278.49
★ Bayonet | Scorched (Minimal Wear) 3 $115.59
★ Gut Knife | Boreal Forest (Minimal Wear) 3 $74.75
★ Karambit | Case Hardened (Well-Worn) 3 $273.58
★ M9 Bayonet | Slaughter (Minimal Wear) 3 $254.69
★ M9 Bayonet | Boreal Forest (Well-Worn) 3 $152.50
★ Karambit | Crimson Web (Field-Tested) 3 $300.00
StatTrak™ Sawed-Off | Orange DDPAT (Factory New) 3 $28.94
StatTrak™ SCAR-20 | Crimson Web (Factory New) 3 $43.21
★ Karambit | Urban Masked (Battle-Scarred) 3 $185.23
StatTrak™ M4A4 | Zirka (Factory New) 3 $60.00
★ Flip Knife | Urban Masked (Minimal Wear) 3 $150.21
★ StatTrak™ Gut Knife | Boreal Forest (Field-Tested) 3 $171.82
StatTrak™ AK-47 | Fire Serpent (Field-Tested) 3 $126.18
★ Bayonet | Urban Masked (Field-Tested) 3 $88.98
★ M9 Bayonet | Blue Steel (Field-Tested) 3 $170.00
★ Gut Knife | Case Hardened (Field-Tested) 3 $95.01
MP7 | Whiteout (Factory New) 3 $14.91
★ M9 Bayonet | Boreal Forest (Minimal Wear) 3 $96.94
★ Gut Knife | Case Hardened (Battle-Scarred) 3 $98.00
★ StatTrak™ Bayonet | Forest DDPAT (Field-Tested) 3 $200.67
StatTrak™ AK-47 | Red Laminate (Battle-Scarred) 3 $48.33
★ Flip Knife | Urban Masked (Battle-Scarred) 2 $65.00
StatTrak™ AK-47 | Fire Serpent (Minimal Wear) 2 $213.02
★ Flip Knife | Night (Battle-Scarred) 2 $87.48
★ Flip Knife | Stained (Well-Worn) 2 $75.16
★ Flip Knife | Stained (Battle-Scarred) 2 $73.84
★ Gut Knife | Crimson Web (Minimal Wear) 2 $168.62
★ M9 Bayonet | Night (Minimal Wear) 2 $171.18
★ Flip Knife | Slaughter (Field-Tested) 2 $178.49
★ Flip Knife | Scorched (Minimal Wear) 2 $98.00
★ Flip Knife | Safari Mesh (Minimal Wear) 2 $80.50
★ M9 Bayonet | Urban Masked (Minimal Wear) 2 $135.50
★ Gut Knife | Night (Battle-Scarred) 2 $79.20
★ StatTrak™ Bayonet | Boreal Forest (Field-Tested) 2 $213.90
★ StatTrak™ Bayonet | Stained (Battle-Scarred) 2 $241.50
★ Gut Knife | Night (Well-Worn) 2 $75.00
★ Bayonet | Safari Mesh (Well-Worn) 2 $79.54
★ Gut Knife | Safari Mesh (Minimal Wear) 2 $99.33
★ Flip Knife | Forest DDPAT (Well-Worn) 2 $95.45
★ Flip Knife | Forest DDPAT (Minimal Wear) 2 $118.13
★ Gut Knife | Scorched (Minimal Wear) 2 $109.25
★ StatTrak™ Bayonet | Stained (Field-Tested) 2 $350.75
★ StatTrak™ Flip Knife | Blue Steel (Well-Worn) 2 $207.00
★ StatTrak™ Flip Knife | Boreal Forest (Field-Tested) 2 $172.50
★ StatTrak™ Gut Knife | Safari Mesh (Field-Tested) 2 $200.67
★ Gut Knife | Stained (Minimal Wear) 2 $80.27
★ Karambit | Slaughter (Minimal Wear) 2 $368.00
★ Flip Knife | Boreal Forest (Field-Tested) 2 $74.99
★ StatTrak™ Flip Knife | Case Hardened (Minimal Wear) 2 $293.25
★ Gut Knife | Urban Masked (Minimal Wear) 2 $92.61
★ Gut Knife | Urban Masked (Well-Worn) 2 $98.82
★ Flip Knife | Blue Steel (Well-Worn) 2 $92.61
★ Gut Knife | Blue Steel (Minimal Wear) 2 $117.30
★ Karambit | Blue Steel (Factory New) 2 $365.82
StatTrak™ Galil AR | Orange DDPAT (Factory New) 2 $45.62
★ Karambit | Blue Steel (Minimal Wear) 2 $219.99
★ Karambit | Blue Steel (Well-Worn) 2 $214.77
★ StatTrak™ Flip Knife | Forest DDPAT (Well-Worn) 2 $268.45
★ Bayonet | Urban Masked (Battle-Scarred) 2 $97.17
★ Bayonet | Stained (Minimal Wear) 2 $123.48
★ M9 Bayonet | Case Hardened (Field-Tested) 2 $179.88
★ Bayonet | Slaughter (Field-Tested) 2 $200.00
★ M9 Bayonet | Case Hardened (Battle-Scarred) 2 $167.70
★ Karambit | Case Hardened (Field-Tested) 2 $255.02
★ StatTrak™ Gut Knife | Blue Steel (Well-Worn) 2 $248.33
★ Bayonet | Scorched (Factory New) 2 $163.85
★ Bayonet | Scorched (Battle-Scarred) 2 $98.90
★ Karambit | Stained (Minimal Wear) 2 $207.00
★ Bayonet | Night (Minimal Wear) 2 $181.19
★ StatTrak™ Gut Knife | Forest DDPAT (Field-Tested) 2 $179.46
★ Karambit | Forest DDPAT (Battle-Scarred) 2 $151.99
★ Bayonet | Forest DDPAT (Well-Worn) 2 $131.21
★ Bayonet | Forest DDPAT (Battle-Scarred) 2 $118.13
★ Karambit | Night (Battle-Scarred) 2 $213.02
★ Bayonet | Crimson Web (Well-Worn) 2 $168.97
★ Bayonet | Crimson Web (Minimal Wear) 2 $334.01
★ StatTrak™ Gut Knife | Scorched (Minimal Wear) 2 $169.85
★ Bayonet | Boreal Forest (Minimal Wear) 2 $108.04
StatTrak™ P90 | Emerald Dragon (Factory New) 2 $249.98
★ StatTrak™ Karambit | Forest DDPAT (Field-Tested) 2 $328.85
★ StatTrak™ Karambit | Scorched (Field-Tested) 2 $365.10
StatTrak™ SSG 08 | Blood in the Water (Field-Tested) 2 $62.10
★ StatTrak™ M9 Bayonet | Forest DDPAT (Field-Tested) 2 $274.35
★ M9 Bayonet | Stained (Battle-Scarred) 2 $99.99
★ M9 Bayonet | Safari Mesh (Battle-Scarred) 2 $110.00
★ Karambit | Stained (Battle-Scarred) 2 $201.31
★ Karambit | Stained (Factory New) 2 $248.33
★ M9 Bayonet | Crimson Web (Battle-Scarred) 2 $167.00
★ Gut Knife | Night (Minimal Wear) 2 $118.81
★ StatTrak™ Flip Knife | Crimson Web (Field-Tested) 2 $300.00
★ Bayonet | Urban Masked (Well-Worn) 2 $123.48
★ StatTrak™ M9 Bayonet | Urban Masked (Field-Tested) 2 $228.19
★ Bayonet | Urban Masked (Minimal Wear) 2 $124.68
★ Karambit | Urban Masked (Well-Worn) 1 $223.82
★ Karambit | Scorched (Minimal Wear) 1 $200.67
★ Karambit | Safari Mesh (Well-Worn) 1 $140.94
★ M9 Bayonet | Blue Steel (Factory New) 1 $330.00
★ Karambit | Safari Mesh (Minimal Wear) 1 $178.25
★ StatTrak™ M9 Bayonet | Urban Masked (Battle-Scarred) 1 $281.87
★ M9 Bayonet | Blue Steel (Well-Worn) 1 $161.00
★ M9 Bayonet | Boreal Forest (Battle-Scarred) 1 $123.48
★ Karambit | Forest DDPAT (Minimal Wear) 1 $219.49
★ Karambit | Crimson Web (Well-Worn) 1 $308.72
★ Karambit | Crimson Web (Battle-Scarred) 1 $287.50
★ Karambit | Case Hardened (Factory New) 1 $385.89
★ M9 Bayonet | Case Hardened (Factory New) 1 $282.21
★ Karambit | Boreal Forest (Well-Worn) 1 $138.27
★ Karambit | Boreal Forest (Minimal Wear) 1 $299.00
★ M9 Bayonet | Case Hardened (Well-Worn) 1 $154.35
★ Flip Knife | Boreal Forest (Minimal Wear) 1 $100.33
★ Karambit | Boreal Forest (Battle-Scarred) 1 $158.35
★ M9 Bayonet | Crimson Web (Minimal Wear) 1 $399.79
★ M9 Bayonet | Crimson Web (Well-Worn) 1 $295.29
★ Karambit | Slaughter (Field-Tested) 1 $327.75
★ M9 Bayonet | Forest DDPAT (Battle-Scarred) 1 $150.00
★ Gut Knife | Slaughter (Field-Tested) 1 $134.98
★ M9 Bayonet | Forest DDPAT (Well-Worn) 1 $107.41
★ Gut Knife | Scorched (Battle-Scarred) 1 $138.00
★ Gut Knife | Forest DDPAT (Well-Worn) 1 $101.86
★ Gut Knife | Crimson Web (Well-Worn) 1 $120.81
StatTrak™ AK-47 | Fire Serpent (Battle-Scarred) 1 $92.61
★ Gut Knife | Blue Steel (Battle-Scarred) 1 $106.95
★ M9 Bayonet | Safari Mesh (Well-Worn) 1 $114.97
★ M9 Bayonet | Scorched (Battle-Scarred) 1 $117.18
★ Flip Knife | Urban Masked (Well-Worn) 1 $73.84
★ M9 Bayonet | Scorched (Minimal Wear) 1 $115.00
★ M9 Bayonet | Scorched (Well-Worn) 1 $127.51
★ Flip Knife | Urban Masked (Factory New) 1 $134.24
★ M9 Bayonet | Slaughter (Field-Tested) 1 $212.49
★ Flip Knife | Stained (Factory New) 1 $138.00
StatTrak™ AK-47 | Red Laminate (Factory New) 1 $379.50
★ M9 Bayonet | Stained (Factory New) 1 $194.61
★ Flip Knife | Scorched (Well-Worn) 1 $100.67
★ M9 Bayonet | Stained (Minimal Wear) 1 $115.42
StatTrak™ AWP | BOOM (Factory New) 1 $147.38
★ M9 Bayonet | Urban Masked (Battle-Scarred) 1 $92.61
★ Flip Knife | Scorched (Battle-Scarred) 1 $154.36
★ Flip Knife | Safari Mesh (Factory New) 1 $138.00
★ StatTrak™ Bayonet | Blue Steel (Field-Tested) 1 $322.00
★ Flip Knife | Night (Minimal Wear) 1 $132.88
★ StatTrak™ Bayonet | Case Hardened (Battle-Scarred) 1 $216.10
★ StatTrak™ Bayonet | Forest DDPAT (Battle-Scarred) 1 $170.00
★ Flip Knife | Crimson Web (Minimal Wear) 1 $345.00
★ StatTrak™ Bayonet | Forest DDPAT (Minimal Wear) 1 $274.35
★ StatTrak™ Bayonet | Safari Mesh (Field-Tested) 1 $185.23
StatTrak™ AWP | Lightning Strike (Minimal Wear) 1 $54.87
★ Flip Knife | Forest DDPAT (Battle-Scarred) 1 $125.00
★ StatTrak™ Bayonet | Urban Masked (Well-Worn) 1 $199.12
★ StatTrak™ Flip Knife 1 $223.82
★ StatTrak™ Flip Knife | Blue Steel (Field-Tested) 1 $308.72
★ StatTrak™ Flip Knife | Blue Steel (Minimal Wear) 1 $239.98
★ Flip Knife | Fade (Minimal Wear) 1 $180.00
★ StatTrak™ Flip Knife | Boreal Forest (Battle-Scarred) 1 $198.65
★ Flip Knife | Crimson Web (Well-Worn) 1 $174.50
★ StatTrak™ Flip Knife | Case Hardened (Field-Tested) 1 $216.10
★ Flip Knife | Boreal Forest (Factory New) 1 $165.00
★ StatTrak™ Flip Knife | Case Hardened (Well-Worn) 1 $290.00
★ Karambit | Stained (Well-Worn) 1 $287.50
★ Karambit | Scorched (Well-Worn) 1 $268.58
★ StatTrak™ Flip Knife | Night (Well-Worn) 1 $200.67
★ StatTrak™ Flip Knife | Safari Mesh (Battle-Scarred) 1 $147.67
★ StatTrak™ Flip Knife | Urban Masked (Field-Tested) 1 $151.80
★ StatTrak™ Flip Knife | Urban Masked (Minimal Wear) 1 $195.50
★ StatTrak™ Gut Knife | Blue Steel (Battle-Scarred) 1 $278.36
★ StatTrak™ Gut Knife | Blue Steel (Factory New) 1 $256.07
★ Bayonet | Scorched (Well-Worn) 1 $99.68
★ StatTrak™ Gut Knife | Boreal Forest (Battle-Scarred) 1 $308.72
★ Bayonet | Night (Well-Worn) 1 $154.36
★ StatTrak™ Gut Knife | Crimson Web (Field-Tested) 1 $295.29
★ StatTrak™ Gut Knife | Crimson Web (Well-Worn) 1 $308.72
StatTrak™ MAC-10 | Graven (Factory New) 1 $46.00
★ StatTrak™ Gut Knife | Forest DDPAT (Well-Worn) 1 $201.19
★ StatTrak™ Gut Knife | Night (Battle-Scarred) 1 $264.50
★ StatTrak™ Gut Knife | Night (Field-Tested) 1 $335.57
★ StatTrak™ Gut Knife | Safari Mesh (Factory New) 1 $342.36
★ Karambit | Night (Minimal Wear) 1 $223.82
★ StatTrak™ Gut Knife | Safari Mesh (Well-Worn) 1 $200.00
★ StatTrak™ Gut Knife | Scorched (Battle-Scarred) 1 $246.06
★ Bayonet | Boreal Forest (Well-Worn) 1 $75.00
★ StatTrak™ Gut Knife | Stained (Field-Tested) 1 $137.00
★ StatTrak™ Gut Knife | Stained (Minimal Wear) 1 $230.00
★ StatTrak™ Gut Knife | Urban Masked (Battle-Scarred) 1 $200.67
★ StatTrak™ Gut Knife | Urban Masked (Field-Tested) 1 $195.50
★ StatTrak™ Karambit | Case Hardened (Field-Tested) 1 $400.00
★ Bayonet | Blue Steel (Well-Worn) 1 $114.10
★ StatTrak™ Karambit | Safari Mesh (Field-Tested) 1 $300.00
★ Bayonet | Blue Steel (Battle-Scarred) 1 $108.04
★ StatTrak™ M9 Bayonet 1 $408.06
★ StatTrak™ M9 Bayonet | Boreal Forest (Minimal Wear) 1 $287.50
★ StatTrak™ M9 Bayonet | Case Hardened (Field-Tested) 1 $334.91
Tec-9 | Nuclear Threat (Factory New) 1 $134.24
★ StatTrak™ M9 Bayonet | Night (Battle-Scarred) 1 $167.79
★ StatTrak™ M9 Bayonet | Safari Mesh (Well-Worn) 1 $172.50
★ StatTrak™ M9 Bayonet | Scorched (Battle-Scarred) 1 $231.53
★ StatTrak™ M9 Bayonet | Scorched (Minimal Wear) 1 $400.00
★ StatTrak™ M9 Bayonet | Stained (Well-Worn) 1 $243.80
XM1014 | Blaze Orange (Factory New) 1 $21.48
MP9 | Bulldozer (Factory New) 1 $29.50
★ StatTrak™ M9 Bayonet | Scorched (Field-Tested) 1 $202.89
★ M9 Bayonet | Forest DDPAT (Minimal Wear) 1 $160.00
